"CD_SETOR";"AREA_KM2";"POPULACAO";"POPULACAO_INFANTIL";"POPULACAO_IDOSA";"POPULACAO_ADULTA";"POPULACAO_EQUIVALENTE";"CNES";"NOME FANTASIA";"NIVEL_REFERENCIA";"PESO_COMPLEXIDADE";"CAPACIDADE/MES";"INDICE_SOBRECARGA";"CLASSIFICACAO"
"211130005000001";"0.0777277";"236";"18";"53.0";"165";"287.4";"6929370";"UNIDADE PRISIONAL DE RESSOCIALIZACAO FEMININA";"II";"1.0";"6000";"0.4644";"Adequado"
"211130005000002";"0.0877081";"247";"8";"58.0";"181";"297.4";"6929370";"UNIDADE PRISIONAL DE RESSOCIALIZACAO FEMININA";"II";"1.0";"6000";"0.4644";"Adequado"
"211130005000003";"0.1589558";"232";"13";"40.0";"179";"270.5";"6929370";"UNIDADE PRISIONAL DE RESSOCIALIZACAO FEMININA";"II";"1.0";"6000";"0.4644";"Adequado"
"211130005000004";"0.0744611";"213";"15";"35.0";"163";"248.5";"7152744";"NUCLEO DE ASSISTENCIA DE SAUDE NAS";"II";"1.0";"6000";"0.3563";"Adequado"
"211130005000005";"0.1828716";"516";"29";"116.0";"371";"623.3";"929417";"CLINICA DA FAMILIA DO CENTRO";"II";"1.0";"6000";"0.8770";"Adequado"
"211130005000006";"0.3520668";"608";"19";"130.0";"459";"721.5";"2876175";"CENTRO DE SAUDE BAIRRO DE FATIMA";"I";"0.8";"3000";"6.6602";"Sobrecarregado"
"211130005000007";"0.1318836";"521";"8";"131.0";"382";"629.8";"6929370";"UNIDADE PRISIONAL DE RESSOCIALIZACAO FEMININA";"II";"1.0";"6000";"0.4644";"Adequado"
"211130005000008";"0.1318787";"765";"28";"199.0";"538";"938.2";"5992982";"CLINICA DA FAMILIA VILA MARANHAO";"II";"1.0";"6000";"2.0846";"Sobrecarregado"
"211130005000009";"0.4238757";"433";"25";"94.0";"314";"520.7";"6929370";"UNIDADE PRISIONAL DE RESSOCIALIZACAO FEMININA";"II";"1.0";"6000";"0.4644";"Adequado"
"211130005000010";"0.1172592";"396";"23";"79.0";"294";"470.7";"6929370";"UNIDADE PRISIONAL DE RESSOCIALIZACAO FEMININA";"II";"1.0";"6000";"0.4644";"Adequado"
"211130005000012";"0.1482665";"795";"26";"183.0";"586";"954.4";"7152744";"NUCLEO DE ASSISTENCIA DE SAUDE NAS";"II";"1.0";"6000";"0.3563";"Adequado"
"211130005000013";"0.1612185";"705";"23";"148.0";"534";"834.9";"929417";"CLINICA DA FAMILIA DO CENTRO";"II";"1.0";"6000";"0.8770";"Adequado"
"211130005000014";"0.1439373";"565";"25";"108.0";"432";"663.9";"929417";"CLINICA DA FAMILIA DO CENTRO";"II";"1.0";"6000";"0.8770";"Adequado"
"211130005000015";"0.0555114";"851";"38";"158.0";"655";"996.4";"929417";"CLINICA DA FAMILIA DO CENTRO";"II";"1.0";"6000";"0.8770";"Adequado"
