"CD_SETOR";"AREA_KM2";"POPULAÇÃO";"POPULAÇÃO INFANTIL";"POPULAÇÃO IDOSA";"DENSIDADE POPULACIONAL (hab/KM²)";"fid";"SITUACAO";"CD_SIT";"CD_TIPO";"UBS_AREA_KM2";"CD_REGIAO";"NM_REGIAO";"CD_UF";"NM_UF";"CD_MUN";"NM_MUN";"CD_DIST";"NM_DIST";"CD_SUBDIST";"NM_SUBDIST";"CD_BAIRRO";"NM_BAIRRO";"CD_NU";"NM_NU";"CD_FCU";"NM_FCU";"CD_AGLOM";"NM_AGLOM";"CD_RGINT";"NM_RGINT";"CD_RGI";"NM_RGI";"CD_CONCURB";"NM_CONCURB";"fid_2";"CNES";"NOME FANTASIA";"NÍVEL DE ATENÇÃO";"TURNO DE ATENDIMENTO";"latitude";"longitude";"capacidade/mes";"servicos_inferidos";"POPULAÇÃO ADULTA";"POPULAÇÃO EQUIVALENTE"
"211130005000001";"0.0777277";"236";"18";"53.0";"3036.24061949601";"1";"Urbana";"1";"0";"0.077727732065747";"2";"Nordeste";"21";"Maranhão";"2111300";"São Luís";"211130005";"São Luís";"21113000500";"";"";"";"";"";"";"";"";"";"2101";"São Luís";"210001";"São Luís";"2111300";"São Luís/MA";"60";"6929370";"UNIDADE PRISIONAL DE RESSOCIALIZACAO FEMININA";"AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"06 ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)";"-2.5318";"-44.2979";"6000";"especialidades ambulatoriais não identificadas";"165";"287.4"
"211130005000002";"0.0877081";"247";"8";"58.0";"2816.1595109231644";"2";"Urbana";"1";"0";"0.087708088750597";"2";"Nordeste";"21";"Maranhão";"2111300";"São Luís";"211130005";"São Luís";"21113000500";"";"";"";"";"";"";"";"";"";"2101";"São Luís";"210001";"São Luís";"2111300";"São Luís/MA";"60";"6929370";"UNIDADE PRISIONAL DE RESSOCIALIZACAO FEMININA";"AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"06 ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)";"-2.5318";"-44.2979";"6000";"especialidades ambulatoriais não identificadas";"181";"297.4"
"211130005000003";"0.1589558";"232";"13";"40.0";"1459.5252265095075";"3";"Urbana";"1";"0";"0.158955806685443";"2";"Nordeste";"21";"Maranhão";"2111300";"São Luís";"211130005";"São Luís";"21113000500";"";"";"";"";"";"";"";"";"";"2101";"São Luís";"210001";"São Luís";"2111300";"São Luís/MA";"60";"6929370";"UNIDADE PRISIONAL DE RESSOCIALIZACAO FEMININA";"AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"06 ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)";"-2.5318";"-44.2979";"6000";"especialidades ambulatoriais não identificadas";"179";"270.5"
"211130005000004";"0.0744611";"213";"15";"35.0";"2860.554034254127";"4";"Urbana";"1";"0";"0.074461087420713";"2";"Nordeste";"21";"Maranhão";"2111300";"São Luís";"211130005";"São Luís";"21113000500";"";"";"";"";"";"";"";"";"";"2101";"São Luís";"210001";"São Luís";"2111300";"São Luís/MA";"49";"7152744";"NUCLEO DE ASSISTENCIA DE SAUDE NAS";"AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"04 ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE";"-2.53";"-44.297";"6000";"especialidades ambulatoriais não identificadas";"163";"248.5"
"211130005000005";"0.1828716";"516";"29";"116.0";"2821.651913145617";"5";"Urbana";"1";"0";"0.182871559789966";"2";"Nordeste";"21";"Maranhão";"2111300";"São Luís";"211130005";"São Luís";"21113000500";"";"";"";"";"";"";"";"";"";"2101";"São Luís";"210001";"São Luís";"2111300";"São Luís/MA";"23";"929417";"CLINICA DA FAMILIA DO CENTRO";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE";"-2.53066464097071";"-44.2953850236779";"6000";"atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas";"371";"623.3"
"211130005000006";"0.3520668";"608";"19";"130.0";"1726.9450002101873";"6";"Urbana";"1";"0";"0.352066778068676";"2";"Nordeste";"21";"Maranhão";"2111300";"São Luís";"211130005";"São Luís";"21113000500";"";"";"";"";"";"";"";"";"";"2101";"São Luís";"210001";"São Luís";"2111300";"São Luís/MA";"35";"2876175";"CENTRO DE SAUDE BAIRRO DE FATIMA";"AMBULATORIAL - 01 ATENCAO BASICA";"03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE";"-2.53434";"-44.29292";"3000";"atenção básica; clínica geral; enfermagem";"459";"721.5"
"211130005000007";"0.1318836";"521";"8";"131.0";"3950.4532784970993";"7";"Urbana";"1";"0";"0.13188360095682";"2";"Nordeste";"21";"Maranhão";"2111300";"São Luís";"211130005";"São Luís";"21113000500";"";"";"";"";"";"";"";"";"";"2101";"São Luís";"210001";"São Luís";"2111300";"São Luís/MA";"60";"6929370";"UNIDADE PRISIONAL DE RESSOCIALIZACAO FEMININA";"AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"06 ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)";"-2.5318";"-44.2979";"6000";"especialidades ambulatoriais não identificadas";"382";"629.8"
"211130005000008";"0.1318787";"765";"28";"199.0";"5800.785115412876";"8";"Urbana";"1";"0";"0.131878693897143";"2";"Nordeste";"21";"Maranhão";"2111300";"São Luís";"211130005";"São Luís";"21113000500";"";"";"";"";"";"";"";"";"";"2101";"São Luís";"210001";"São Luís";"2111300";"São Luís/MA";"27";"5992982";"CLINICA DA FAMILIA VILA MARANHAO";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE";"-2.53599";"-44.2972982";"6000";"atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas";"538";"938.2"
"211130005000009";"0.4238757";"433";"25";"94.0";"1021.5258860085634";"9";"Urbana";"1";"0";"0.423875713012178";"2";"Nordeste";"21";"Maranhão";"2111300";"São Luís";"211130005";"São Luís";"21113000500";"";"";"";"";"";"";"";"";"";"2101";"São Luís";"210001";"São Luís";"2111300";"São Luís/MA";"60";"6929370";"UNIDADE PRISIONAL DE RESSOCIALIZACAO FEMININA";"AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"06 ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)";"-2.5318";"-44.2979";"6000";"especialidades ambulatoriais não identificadas";"314";"520.7"
"211130005000010";"0.1172592";"396";"23";"79.0";"3377.133734495886";"10";"Urbana";"1";"0";"0.117259187147147";"2";"Nordeste";"21";"Maranhão";"2111300";"São Luís";"211130005";"São Luís";"21113000500";"";"";"";"";"";"";"";"";"";"2101";"São Luís";"210001";"São Luís";"2111300";"São Luís/MA";"60";"6929370";"UNIDADE PRISIONAL DE RESSOCIALIZACAO FEMININA";"AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"06 ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)";"-2.5318";"-44.2979";"6000";"especialidades ambulatoriais não identificadas";"294";"470.7"
