CD_SETOR;AREA_KM2;populacao;densidade_hab_km2
211130005000001;0.0777277;236;3036.24061949601
211130005000002;0.0877081;247;2816.1595109231644
211130005000003;0.1589558;232;1459.5252265095075
211130005000004;0.0744611;213;2860.554034254127
211130005000005;0.1828716;516;2821.651913145617
211130005000006;0.3520668;608;1726.9450002101873
211130005000007;0.1318836;521;3950.4532784970993
211130005000008;0.1318787;765;5800.785115412876
211130005000009;0.4238757;433;1021.5258860085634
211130005000010;0.1172592;396;3377.133734495886
211130005000012;0.1482665;795;5361.96645904503
211130005000013;0.1612185;705;4372.947273420855
211130005000014;0.1439373;565;3925.320260974744
211130005000015;0.0555114;851;15330.184430585428
211130005000016;0.0854388;416;4868.982242259957
211130005000017;0.1358113;874;6435.399705326435
211130005000018;0.0605283;809;13365.648795687306
211130005000019;0.0569977;545;9561.789335359146
211130005000020;0.038659;557;14408.029178199125
211130005000021;0.0435795;853;19573.423283883476
211130005000022;0.1138939;551;4837.835915707514
211130005000023;0.0570098;826;14488.737024160759
211130005000024;0.2681255;727;2711.4168551667035
211130005000025;0.0496682;787;15845.148404814347
211130005000026;0.0174402;451;25859.795185835024
211130005000027;0.1014868;1026;10109.689141839135
211130005000028;0.0310249;878;28299.849475743675
211130005000029;0.0352484;772;21901.70333972606
211130005000030;0.0250014;651;26038.54184165687
211130005000031;0.0494443;851;17211.286235218216
211130005000032;0.0549222;831;15130.493680151196
211130005000033;0.0346154;593;17131.103497287335
211130005000036;0.0320527;690;21527.047643412254
211130005000037;0.0377285;575;15240.468081158806
211130005000038;0.094866;794;8369.700419539138
211130005000039;0.0880768;496;5631.448917308531
211130005000040;0.0688576;727;10558.021191560552
211130005000041;0.0812494;727;8947.758383446524
211130005000042;0.0445458;1044;23436.552941018006
211130005000043;0.0328303;740;22540.1534558015
211130005000044;0.0320263;895;27945.782060369133
211130005000045;0.0168528;409;24268.96420772809
211130005000046;0.0357878;500;13971.24159629818
211130005000047;0.1076515;152;1411.96360478024
211130005000048;0.0368036;915;24861.69831212164
211130005000049;0.0329752;871;26413.789757150826
211130005000050;0.0367841;986;26805.059794857018
211130005000051;0.0259893;714;27472.844593736652
211130005000052;0.0287854;851;29563.59821298297
211130005000053;0.0168843;545;32278.50725229947
211130005000054;0.0465222;984;21151.192333982486
211130005000055;0.0493335;923;18709.39625203969
211130005000056;0.0825245;826;10009.148798235676
211130005000057;0.0254577;691;27143.064770187408
211130005000058;0.0869188;824;9480.112472790695
